Unnamed: 0,#,Name,GP,G,A,PTS,PPG,SHG,PIMS,GWG,Team
0,9,Phillip Pugliese,21,14,7,21,3,1,18,0,M2 Adrian College
1,16,Ondrej Tomek,22,9,11,20,2,0,24,0,M2 Adrian College
2,10,Robert Bathory,22,6,10,16,0,2,8,1,M2 Adrian College
3,6,Tedrick Tarvis,19,9,6,15,0,0,2,0,M2 Adrian College
4,22,Devin Whitaker,22,7,8,15,2,0,10,1,M2 Adrian College
5,20,Stefan Boskovic,22,7,6,13,2,0,22,0,M2 Adrian College
6,24,Grant Kiepper,21,6,7,13,2,0,41,0,M2 Adrian College
7,27,Justin Session,20,5,7,12,0,0,41,1,M2 Adrian College
8,18,Matyas Mach,20,4,7,11,0,0,2,0,M2 Adrian College
9,2,Dominick Yamarino,21,7,3,10,1,0,16,0,M2 Adrian College
10,17,Dominik Mikulcak,20,1,8,9,0,0,4,1,M2 Adrian College
11,13,Adam Ryffel,20,1,6,7,0,0,4,0,M2 Adrian College
12,15,Zach Mcdonough,17,1,6,7,0,0,12,0,M2 Adrian College
13,28,Mitchell Kellerman,17,1,6,7,1,0,8,1,M2 Adrian College
14,23,Alexandre Sode,20,3,2,5,0,0,0,1,M2 Adrian College
15,8,Jiri Sup,16,3,2,5,0,0,2,0,M2 Adrian College
16,4,Nicholas Shuman,15,1,4,5,0,0,27,0,M2 Adrian College
17,12,Kyle Boerner,14,1,4,5,0,0,29,0,M2 Adrian College
18,5,Brett Siewertsen,22,0,5,5,0,0,10,0,M2 Adrian College
19,19,Phillip Grippi,8,3,1,4,0,0,0,0,M2 Adrian College
20,7,Nicholas Stanko,14,0,1,1,0,0,45,0,M2 Adrian College
21,31,Ben Perone,5,0,1,1,0,0,0,0,M2 Adrian College
22,30,Michael Barrett,0,0,0,0,0,0,0,0,M2 Adrian College
23,30,Cedric Joubert,7,0,0,0,0,0,0,0,M2 Adrian College
24,30,Connor Sheridan,1,0,0,0,0,0,0,0,M2 Adrian College
25,11,Michael Tratar,0,0,0,0,0,0,0,0,M2 Adrian College
0,16,Josh Delezenne,27,42,27,69,5,1,10,5,M2 Aurora University
1,12,Luke Picek,27,18,32,50,3,0,10,1,M2 Aurora University
2,15,Samuel Weiss,26,18,30,48,0,4,46,0,M2 Aurora University
3,23,Dan Zielecki,27,21,24,45,2,0,47,1,M2 Aurora University
4,18,Ian Sweeney,26,10,15,25,3,0,36,3,M2 Aurora University
5,19,Chris Laporte,27,12,12,24,2,4,14,0,M2 Aurora University
6,10,Patrick Macdonald,26,5,19,24,1,0,2,0,M2 Aurora University
7,2,Anders Lindgren,22,10,12,22,0,0,4,2,M2 Aurora University
8,20,Matthew Chamberlain,23,5,17,22,0,0,16,0,M2 Aurora University
9,11,Zach Tykocki,27,12,9,21,7,0,18,1,M2 Aurora University
10,5,Matt Fudala,27,7,6,13,0,1,4,2,M2 Aurora University
11,21,Isaac Arroyo,27,1,9,10,0,0,14,0,M2 Aurora University
12,9,Luke Williams,19,2,7,9,0,1,2,0,M2 Aurora University
13,6,Benjamin Grabarek,26,1,7,8,0,0,14,0,M2 Aurora University
14,4/86,Andrew Fattore,25,0,8,8,0,0,0,0,M2 Aurora University
15,8,Zack Miceli,26,2,5,7,0,0,30,1,M2 Aurora University
16,35,Cam Orsborn,19,0,1,1,0,0,0,0,M2 Aurora University
17,71,Timothy Faulkner,4,0,1,1,0,0,4,0,M2 Aurora University
18,0,Brian Tempel,4,0,0,0,0,0,0,0,M2 Aurora University
19,30,Gavin Carlson,3,0,0,0,0,0,0,0,M2 Aurora University
0,22,Riley Martin,15,16,5,21,2,0,6,0,M2 Bethel University
1,8,Asa Carlson,20,8,9,17,1,1,8,0,M2 Bethel University
2,4,Justice Chaffee,16,6,4,10,1,0,16,0,M2 Bethel University
3,6,Coleton Edgington,14,4,5,9,0,0,6,0,M2 Bethel University
4,25,Benjamin Perunovich,14,3,6,9,0,0,2,0,M2 Bethel University
5,7,Tyler Larwood,4,4,3,7,1,0,7,0,M2 Bethel University
6,23,Ryan Ackerman,19,2,5,7,0,0,6,0,M2 Bethel University
7,11,Logan Hulse,11,1,6,7,0,0,8,0,M2 Bethel University
8,12,Ethan Scheibe,3,1,3,4,0,0,0,0,M2 Bethel University
9,21,Jack Velasco,2,1,2,3,0,0,2,0,M2 Bethel University
10,27,Zac Villarreal,6,0,3,3,0,0,2,0,M2 Bethel University
11,10,Zack Spady,4,2,0,2,0,0,0,0,M2 Bethel University
12,HC/9,Ty Walls,4,1,1,2,0,0,2,0,M2 Bethel University
13,26,Mitchell OBrien,13,0,2,2,0,0,4,0,M2 Bethel University
14,9,Alex Byram,4,1,0,1,0,0,0,0,M2 Bethel University
15,17,Jackson Schroer,16,0,1,1,0,0,0,0,M2 Bethel University
16,49,Tony Harris,5,0,1,1,0,0,0,0,M2 Bethel University
17,19,Boston Knighton-Johnson,1,0,1,1,0,0,0,0,M2 Bethel University
18,35,Aaron Furlano,13,0,0,0,0,0,2,0,M2 Bethel University
19,2,Mario Hadley,3,0,0,0,0,0,2,0,M2 Bethel University
20,33,Tyler Hayft,3,0,0,0,0,0,0,0,M2 Bethel University
21,3,Andrew Marod,1,0,0,0,0,0,0,0,M2 Bethel University
22,16,Kyle Swanson,1,0,0,0,0,0,0,0,M2 Bethel University
23,28,Austin Anderson,1,0,0,0,0,0,0,0,M2 Bethel University
24,33,Riley Martin,1,0,0,0,0,0,0,0,M2 Bethel University
25,34,Justice Chaffee,1,0,0,0,0,0,0,0,M2 Bethel University
26,18,Jonathan Terpstra,0,0,0,0,0,0,0,0,M2 Bethel University
27,20,Stephen Oslin,0,0,0,0,0,0,0,0,M2 Bethel University
0,2,Kyle Tintera,30,32,21,53,9,1,38,6,M2 Bradley University
1,6,Cory Kohut,30,7,21,28,5,0,14,1,M2 Bradley University
2,49,Brennen Peters,30,14,9,23,7,0,32,1,M2 Bradley University
3,82,Trevor Keune,27,6,15,21,0,0,4,1,M2 Bradley University
4,8,Sam Lucchese,30,5,14,19,3,0,34,0,M2 Bradley University
5,19,Kam Etchison,30,11,5,16,1,0,28,0,M2 Bradley University
6,24,Sam Bryant,30,4,9,13,2,0,12,1,M2 Bradley University
7,73,David Tuttle,30,3,10,13,0,0,4,0,M2 Bradley University
8,11,Seth Bishop,31,7,4,11,1,2,10,2,M2 Bradley University
9,4,Robert Blackburn,31,3,7,10,0,0,20,1,M2 Bradley University
10,54,Ryan Spence,26,6,3,9,0,0,40,0,M2 Bradley University
11,36,Nick Sorrentino,29,4,4,8,2,0,22,1,M2 Bradley University
12,52,Logan Nigg,14,3,5,8,0,1,30,0,M2 Bradley University
13,55,Andrew Schmitt,31,1,7,8,0,0,14,0,M2 Bradley University
14,15,Josh Crandall,21,1,1,2,1,0,6,0,M2 Bradley University
15,51,Joshua Soule,19,0,1,1,0,0,0,0,M2 Bradley University
16,3,Jack Power Wayvon,6,0,1,1,0,0,32,0,M2 Bradley University
17,41,Devun Schneider,13,0,0,0,0,0,0,0,M2 Bradley University
18,31,Scott Chernobrov,0,0,0,0,0,0,0,0,M2 Bradley University
0,24,Lawrence Rowe,23,13,15,28,2,2,52,0,M2 Central Michigan University
1,7,Jorden Cooper,24,13,11,24,4,0,81,2,M2 Central Michigan University
2,18,Alexander Dimarco,22,7,9,16,1,0,24,0,M2 Central Michigan University
3,3,Shaun Smith,24,8,7,15,1,1,26,2,M2 Central Michigan University
4,12,Nicolas Modas,24,6,9,15,1,0,16,0,M2 Central Michigan University
5,8,Aidan Hoffman,24,5,9,14,1,1,16,0,M2 Central Michigan University
6,15,Christopher Krzyzak,22,7,3,10,1,1,57,0,M2 Central Michigan University
7,20,Patrick Burke,24,4,6,10,0,0,28,1,M2 Central Michigan University
8,28,Shawn Viane,19,5,4,9,2,0,14,0,M2 Central Michigan University
9,21,Ryan Stumpf,24,2,7,9,0,0,12,0,M2 Central Michigan University
10,9,Michael James,23,2,4,6,0,0,12,0,M2 Central Michigan University
11,6,Ian Sierota,23,0,5,5,0,0,16,0,M2 Central Michigan University
12,27,Brandon Skiles,23,1,3,4,0,0,10,0,M2 Central Michigan University
13,22,Brayden Chritz,23,0,4,4,0,0,10,0,M2 Central Michigan University
14,16,Brendan Raney,22,3,0,3,0,0,20,1,M2 Central Michigan University
15,0,Dylan Coomes,4,1,2,3,0,0,0,0,M2 Central Michigan University
16,4,Chris Kennard,22,0,3,3,0,0,18,0,M2 Central Michigan University
17,13,Brent Bouck,13,1,1,2,0,0,4,1,M2 Central Michigan University
18,10,Steven Jacques,24,0,2,2,0,0,4,0,M2 Central Michigan University
19,25,Brendan Crippen,22,0,2,2,0,0,16,0,M2 Central Michigan University
20,23,Cameron Messer,20,0,1,1,0,0,8,0,M2 Central Michigan University
21,1,Jonah Heath,14,0,0,0,0,0,0,0,M2 Central Michigan University
22,29,Patrick Newton,11,0,0,0,0,0,2,0,M2 Central Michigan University
23,11,Adam Gagnon,6,0,0,0,0,0,2,0,M2 Central Michigan University
24,30,Jack Valentine,5,0,0,0,0,0,0,0,M2 Central Michigan University
0,26,Jonathan Grodzki,29,22,39,61,3,2,13,0,M2 Concordia of Wisconsin
1,2,Cody Faber,29,19,28,47,6,0,12,4,M2 Concordia of Wisconsin
2,18,Trenton Sherman,29,17,22,39,1,2,7,3,M2 Concordia of Wisconsin
3,12,Scott Gregor,29,18,19,37,6,0,20,1,M2 Concordia of Wisconsin
4,92,Wyatt Wilderman,26,16,20,36,8,0,4,3,M2 Concordia of Wisconsin
5,21,Mathew Gregor,29,7,26,33,1,0,16,0,M2 Concordia of Wisconsin
6,28,Easton Williams,29,13,16,29,2,0,10,2,M2 Concordia of Wisconsin
7,11,Gabriel Dasto,29,11,13,24,4,1,30,2,M2 Concordia of Wisconsin
8,72,Logan Hascarl,24,13,8,21,3,0,10,2,M2 Concordia of Wisconsin
9,44,Sean Doyle,29,6,13,19,0,0,86,1,M2 Concordia of Wisconsin
10,27,Ethan Natzke,29,4,15,19,1,0,46,2,M2 Concordia of Wisconsin
11,8,Connor Doyle,24,6,4,10,0,0,41,1,M2 Concordia of Wisconsin
12,4,Alec Murano,9,4,6,10,0,0,8,1,M2 Concordia of Wisconsin
13,19,Andrew Doepp,28,3,6,9,0,0,22,0,M2 Concordia of Wisconsin
14,6,Keijo Day,8,0,4,4,0,0,12,0,M2 Concordia of Wisconsin
15,66,Aymery Larson,29,0,2,2,0,0,12,0,M2 Concordia of Wisconsin
16,70,Mack Willy,21,0,1,1,0,0,0,0,M2 Concordia of Wisconsin
17,5,Andrew Gordon,19,0,0,0,0,0,2,0,M2 Concordia of Wisconsin
18,32,Brian Johnson,8,0,0,0,0,0,0,0,M2 Concordia of Wisconsin
19,31,Ian Robertson,1,0,0,0,0,0,0,0,M2 Concordia of Wisconsin
20,29,Robert Houle,0,0,0,0,0,0,0,0,M2 Concordia of Wisconsin
0,15,Trevor Murray,33,17,26,43,2,2,26,3,M2 Davenport University
1,21,Connor Seymour,30,21,20,41,6,0,32,0,M2 Davenport University
2,12,Evan Carroll,32,12,20,32,2,1,34,3,M2 Davenport University
3,9,Jeff Rahilly,31,17,14,31,1,1,58,0,M2 Davenport University
4,5,Spencer Sandberg,31,14,17,31,3,0,6,1,M2 Davenport University
5,24,Kyle Mazur,31,10,18,28,3,0,12,1,M2 Davenport University
6,10,Clint Loney,29,16,11,27,3,5,8,0,M2 Davenport University
7,27,Jacob Demeter,30,16,8,24,7,0,42,1,M2 Davenport University
8,11,Adam Hulsey,31,4,17,21,0,1,14,0,M2 Davenport University
9,28,Cole Uzzell,31,8,10,18,3,0,89,2,M2 Davenport University
10,17,Brody White,31,5,13,18,1,0,40,2,M2 Davenport University
11,19,Ty Jaenicke,30,1,16,17,0,0,30,0,M2 Davenport University
12,4,Jean Philippe Montmarquette,31,3,13,16,0,0,26,1,M2 Davenport University
13,20,Tyler Majewski,33,7,8,15,1,1,18,1,M2 Davenport University
14,23,Tyler Blackburn,28,4,11,15,0,0,30,2,M2 Davenport University
15,18,Harry Newton,30,4,5,9,0,0,18,1,M2 Davenport University
16,14,Marc Rotondo,9,5,3,8,1,1,2,0,M2 Davenport University
17,29,Spencer Anderson,31,1,4,5,0,0,14,0,M2 Davenport University
18,7,Quentin Roseboom,18,2,1,3,0,0,18,0,M2 Davenport University
19,7,Justin Vantine,8,2,1,3,0,0,4,0,M2 Davenport University
20,31,Drake Deering,23,0,2,2,0,0,0,0,M2 Davenport University
21,34,Robert Pegrum,9,0,1,1,0,0,0,0,M2 Davenport University
22,35,Brenden Bogema,5,0,0,0,0,0,0,0,M2 Davenport University
23,30,Brendan Forsman,1,0,0,0,0,0,0,0,M2 Davenport University
0,8,Michael Helf,26,22,22,44,6,3,49,3,M2 DePaul University
1,92,Brockton Ash,25,11,15,26,4,0,16,2,M2 DePaul University
2,61,Jackson Leptich,25,13,11,24,6,0,16,0,M2 DePaul University
3,20,Brenton Wadsworth,27,11,11,22,1,2,29,2,M2 DePaul University
4,19,Tyler Hanson,19,4,14,18,1,0,28,0,M2 DePaul University
5,47,Ryan Hasty,23,4,10,14,0,0,72,1,M2 DePaul University
6,22,Connor McNally,25,6,7,13,2,1,69,0,M2 DePaul University
7,27,Marco Presta,28,5,8,13,1,0,2,0,M2 DePaul University
8,5,John Bolger,27,4,9,13,0,0,50,1,M2 DePaul University
9,3,Matt Rivera,20,5,5,10,3,1,18,1,M2 DePaul University
10,93,Tyler Marcelletti,24,4,6,10,0,0,29,1,M2 DePaul University
11,26,Jack Hemmingway,28,3,7,10,0,1,14,0,M2 DePaul University
12,44,Joshua Dolan,25,4,4,8,1,0,73,0,M2 DePaul University
13,91,Jacob Camp,23,4,3,7,1,0,15,0,M2 DePaul University
14,24,Dace Potas,17,5,1,6,0,0,4,0,M2 DePaul University
15,21,Christopher Tran,25,2,4,6,0,0,6,1,M2 DePaul University
16,9,Brandon Guzzi,16,1,3,4,0,0,0,0,M2 DePaul University
17,76,Eric Koetting,23,1,2,3,0,0,14,0,M2 DePaul University
18,23,Jalen Raya,24,1,1,2,0,0,20,0,M2 DePaul University
19,71,Konrad Wujkowski,16,1,1,2,0,0,10,0,M2 DePaul University
20,2,Bennett Kinkade,18,0,2,2,0,0,28,0,M2 DePaul University
21,65,James Panos,16,1,0,1,0,0,16,0,M2 DePaul University
22,72,Nicholas Powers,18,0,1,1,0,0,2,0,M2 DePaul University
23,42,Alexander Grzbek,15,0,1,1,0,0,0,0,M2 DePaul University
24,33,Rodolfo Hodgson Jr,11,0,1,1,0,0,0,0,M2 DePaul University
25,66,Alexander Dudley,13,0,0,0,0,0,2,0,M2 DePaul University
26,83,Brendan Hessman,9,0,0,0,0,0,0,0,M2 DePaul University
27,41,Asher Motew,7,0,0,0,0,0,0,0,M2 DePaul University
28,16,Tiger Weber,2,0,0,0,0,0,18,0,M2 DePaul University
0,19,Brendan Callow,10,7,8,15,1,0,26,0,M2 Finlandia University
1,28,Hunter Krause,10,5,6,11,3,0,15,1,M2 Finlandia University
2,9,Anders Saarela,10,4,5,9,1,0,30,0,M2 Finlandia University
3,12,Nick Davidson,6,4,5,9,2,0,2,0,M2 Finlandia University
4,23,Ethan St. Germain,10,5,3,8,1,0,0,0,M2 Finlandia University
5,11,Ethan Pfeiffer,10,3,5,8,0,0,8,0,M2 Finlandia University
6,0,Kenny Kujawa,6,2,6,8,0,0,2,1,M2 Finlandia University
7,10,Micheal Stuber,10,0,5,5,0,0,12,0,M2 Finlandia University
8,0,Connor Bates,8,2,1,3,0,0,4,0,M2 Finlandia University
9,3,Joe Illig,10,1,1,2,0,0,4,0,M2 Finlandia University
10,20,Charles Macdonald,8,1,1,2,0,0,5,0,M2 Finlandia University
11,22,Tyler Turcotte,8,0,2,2,0,0,8,0,M2 Finlandia University
12,30,Noah Raisanan,10,0,0,0,0,0,4,0,M2 Finlandia University
13,13,Charles Dantes,5,0,0,0,0,0,2,0,M2 Finlandia University
14,16,Nikolas Oxley,2,0,0,0,0,0,0,0,M2 Finlandia University
0,12,Gage Thrall,32,22,18,40,6,2,10,4,M2 Grand Valley State University
1,91,Zach Borchardt,33,14,24,38,5,1,14,0,M2 Grand Valley State University
2,26,Shane Haggerty,33,10,24,34,2,0,14,1,M2 Grand Valley State University
3,18,Zack Kippe,30,15,10,25,5,0,10,2,M2 Grand Valley State University
4,19,Tyler Slabaugh,33,7,17,24,2,0,92,1,M2 Grand Valley State University
5,21,Adam Hillebrand,20,8,9,17,4,1,13,0,M2 Grand Valley State University
6,43,Derek Becker,31,5,12,17,0,0,46,0,M2 Grand Valley State University
7,17,Andrew Dundas,31,2,12,14,1,0,76,0,M2 Grand Valley State University
8,77,Howard Rose,33,6,6,12,4,0,46,0,M2 Grand Valley State University
9,71,Jay Dziegelewski,12,3,7,10,1,0,25,1,M2 Grand Valley State University
10,96,Evan Chomchai,25,3,5,8,0,0,2,1,M2 Grand Valley State University
11,20,Anders Staky,18,5,2,7,1,0,4,1,M2 Grand Valley State University
12,5,Allen Hughson,26,3,4,7,2,0,14,2,M2 Grand Valley State University
13,67,Trevor Zenas,10,2,5,7,0,0,6,0,M2 Grand Valley State University
14,10,Christopher Uturo,33,4,2,6,0,0,38,0,M2 Grand Valley State University
15,83,Barrett Bishop,9,1,3,4,1,0,8,0,M2 Grand Valley State University
16,63,Austin Hickner,10,0,3,3,0,0,40,0,M2 Grand Valley State University
17,23,Tyler Hofmann,23,2,0,2,0,0,6,0,M2 Grand Valley State University
18,2,Ryan Chomchai,25,1,1,2,0,0,4,0,M2 Grand Valley State University
19,74,Nicholas Bumbalough,15,1,1,2,0,0,0,0,M2 Grand Valley State University
20,59,Nathan Grewe,23,0,2,2,0,0,16,0,M2 Grand Valley State University
21,13,CJ Sorenson,22,0,2,2,0,0,4,0,M2 Grand Valley State University
22,25,Garret Bates,22,1,0,1,0,0,14,0,M2 Grand Valley State University
23,79,Cam Beckwith,20,0,1,1,0,0,6,0,M2 Grand Valley State University
24,93,David Johansson,18,0,1,1,0,0,2,0,M2 Grand Valley State University
25,35,Cody Denison,16,0,1,1,0,0,15,0,M2 Grand Valley State University
26,8,Ryan Lindsey,9,0,1,1,0,0,0,0,M2 Grand Valley State University
27,9,Zach Vansolkema,23,0,0,0,0,0,2,0,M2 Grand Valley State University
28,24,Brendan Ogle,3,0,0,0,0,0,0,0,M2 Grand Valley State University
29,30,Brendan Price,1,0,0,0,0,0,0,0,M2 Grand Valley State University
0,17,Mitch Munson,23,17,19,36,0,0,6,2,M2 Gustavus Adolphus College
1,7,Matthew Triemert,23,16,18,34,1,0,23,2,M2 Gustavus Adolphus College
2,14,Wilson Anderle,23,12,15,27,2,0,8,1,M2 Gustavus Adolphus College
3,5,Cullen Osen,15,13,9,22,2,0,2,2,M2 Gustavus Adolphus College
4,3,Riley Bowman,11,9,8,17,0,0,6,2,M2 Gustavus Adolphus College
5,25,Russell Barone,11,9,6,15,0,0,4,1,M2 Gustavus Adolphus College
6,16,Jack Mapstone,23,5,8,13,1,0,27,0,M2 Gustavus Adolphus College
7,10,Connor Brass,21,2,10,12,0,0,4,0,M2 Gustavus Adolphus College
8,11,Alexander Miller,15,3,7,10,0,0,4,0,M2 Gustavus Adolphus College
9,20,Lucas Rekstad,22,3,5,8,0,0,14,0,M2 Gustavus Adolphus College
10,4,Wes Morales,21,3,4,7,0,0,6,2,M2 Gustavus Adolphus College
11,21,Josh Duenas,23,1,4,5,0,0,2,0,M2 Gustavus Adolphus College
12,24,Austin Henry,23,4,0,4,0,0,0,0,M2 Gustavus Adolphus College
13,12,Jacob Brandt,23,0,4,4,0,0,8,0,M2 Gustavus Adolphus College
14,27,Tristan Carivau,16,2,1,3,0,0,4,0,M2 Gustavus Adolphus College
15,2,Matthew Keeley,18,1,2,3,0,0,4,1,M2 Gustavus Adolphus College
16,22,Brad Vantatenhove,12,2,0,2,0,0,4,0,M2 Gustavus Adolphus College
17,18,Reid Johnson,21,0,2,2,0,0,0,0,M2 Gustavus Adolphus College
18,19,Leo Spry,12,0,2,2,0,0,8,0,M2 Gustavus Adolphus College
19,9,Blake Power,13,0,0,0,0,0,2,0,M2 Gustavus Adolphus College
20,30,Stephen Frank,12,0,0,0,0,0,0,0,M2 Gustavus Adolphus College
21,35,Kyle Mugica,9,0,0,0,0,0,0,0,M2 Gustavus Adolphus College
22,28,Jack Killian,1,0,0,0,0,0,0,0,M2 Gustavus Adolphus College
0,91,Michael Mcellin,23,14,20,34,2,0,2,4,M2 Illinois State University
1,33,Niko Castino,21,18,14,32,5,0,26,2,M2 Illinois State University
2,65,Anthony Carcerano,20,9,16,25,0,0,8,2,M2 Illinois State University
3,5,Sam Braun,21,8,11,19,1,0,20,0,M2 Illinois State University
4,70,Josh Gilbert,24,5,13,18,2,0,18,2,M2 Illinois State University
5,25,Trevor Behrendt,22,9,8,17,3,0,52,0,M2 Illinois State University
6,9,Conor Tully,19,5,10,15,0,0,8,0,M2 Illinois State University
7,60,Logan Oliver,21,6,8,14,2,0,12,1,M2 Illinois State University
8,38,Oliver Grigg,22,8,5,13,0,0,8,0,M2 Illinois State University
9,87,Wil Kelly,25,1,11,12,1,0,18,0,M2 Illinois State University
10,19,David Flynn,24,3,6,9,1,0,11,0,M2 Illinois State University
11,8,Will Whalen,22,2,7,9,1,0,18,0,M2 Illinois State University
12,27,Dan Quagliata,21,5,3,8,0,1,2,2,M2 Illinois State University
13,32,Shane Ronan,23,4,4,8,0,0,16,1,M2 Illinois State University
14,20,Trevor Hitzler,20,1,7,8,0,0,10,0,M2 Illinois State University
15,55,Nathan Radtke,23,4,2,6,2,0,62,1,M2 Illinois State University
16,0,Matthew Logan,20,4,0,4,0,0,18,0,M2 Illinois State University
17,24,Trevor Suhr,10,2,2,4,1,0,2,2,M2 Illinois State University
18,93,Cameron Huey,17,1,3,4,0,0,2,0,M2 Illinois State University
19,16,Dylan Lowther,22,1,2,3,0,0,4,0,M2 Illinois State University
20,35,Andrew Meyer,18,1,0,1,0,0,0,0,M2 Illinois State University
21,40,Jack Parker,20,0,1,1,0,0,11,0,M2 Illinois State University
22,2,Aj Saputa,19,0,1,1,0,0,0,0,M2 Illinois State University
23,50,Jared Shadle,11,0,0,0,0,0,2,0,M2 Illinois State University
0,37,Cooper Bailey,23,6,7,13,0,0,14,0,M2 Iowa State University
1,52,Tate Hentz,26,4,9,13,0,1,10,2,M2 Iowa State University
2,49,Austin Sympson,23,2,7,9,0,0,23,2,M2 Iowa State University
3,53,Hunter Schultz,25,5,3,8,0,0,14,0,M2 Iowa State University
4,55,Chris Friemel,25,5,3,8,1,0,2,1,M2 Iowa State University
5,46,Bryce Kessel,20,5,3,8,1,0,16,0,M2 Iowa State University
6,25,Jack Krolak,13,2,6,8,2,0,0,0,M2 Iowa State University
7,51,Maxwell Luedtke,19,5,2,7,2,0,4,1,M2 Iowa State University
8,42,Donnie Guskey,26,3,3,6,2,0,4,0,M2 Iowa State University
9,34,Alex Macdonald,15,2,4,6,0,0,16,1,M2 Iowa State University
10,48,Dylan Haar,22,3,2,5,0,0,4,0,M2 Iowa State University
11,20,Peter Celatka,25,2,3,5,0,0,2,0,M2 Iowa State University
12,40,Liam Johnson,26,3,1,4,1,0,24,1,M2 Iowa State University
13,45,Patrick Berges,25,3,1,4,0,0,54,0,M2 Iowa State University
14,2,Jon Koester,24,1,3,4,1,0,32,0,M2 Iowa State University
15,57,Cade McMahon,23,1,2,3,0,0,24,0,M2 Iowa State University
16,56,Collin Frank,22,0,2,2,0,0,4,0,M2 Iowa State University
17,36,Patrick Mccann,23,0,1,1,0,0,8,0,M2 Iowa State University
18,1,Drew Pehrson,22,0,0,0,0,0,4,0,M2 Iowa State University
19,41,Eric Gerber,21,0,0,0,0,0,4,0,M2 Iowa State University
20,33,Ryan Hooks,4,0,0,0,0,0,0,0,M2 Iowa State University
0,87,Matthew Ernsting,20,14,20,34,2,0,4,2,M2 Lewis University
1,9,Matthew Moro,22,18,12,30,4,2,24,3,M2 Lewis University
2,22,Zac Bishop,22,10,19,29,5,0,10,3,M2 Lewis University
3,7,Conor Johnson,22,7,22,29,3,0,30,0,M2 Lewis University
4,96,Chris Estey,19,16,9,25,1,1,36,1,M2 Lewis University
5,27,Nicholas Madej,18,7,11,18,1,1,14,1,M2 Lewis University
6,10,Matthew Sharpe,20,2,11,13,0,0,24,0,M2 Lewis University
7,2,David Pickell,22,8,4,12,1,0,8,0,M2 Lewis University
8,24,Joe Fiandaca,22,5,6,11,1,0,26,0,M2 Lewis University
9,12,Dylan Parshall,22,1,8,9,0,0,26,0,M2 Lewis University
10,86,John Darcy,18,0,9,9,0,0,23,0,M2 Lewis University
11,19,Michael Ligas,22,2,2,4,0,0,18,0,M2 Lewis University
12,18,Brett Candra,22,1,3,4,0,0,12,0,M2 Lewis University
13,17,Erik Pikowitz,22,0,4,4,0,0,6,0,M2 Lewis University
14,11,Frank Panos,22,2,1,3,0,0,4,0,M2 Lewis University
15,13,Matthew Gore,22,1,1,2,0,0,2,1,M2 Lewis University
16,1,Colton Edling,11,0,0,0,0,0,0,0,M2 Lewis University
17,31,Justin Carricato,9,0,0,0,0,0,0,0,M2 Lewis University
0,27,Josh Linn,32,16,27,43,5,0,20,2,M2 Lindenwood University
1,20,Alex Klaesner,32,21,20,41,4,0,12,4,M2 Lindenwood University
2,26,Ty Ennis,34,22,18,40,1,0,21,0,M2 Lindenwood University
3,17,Michael Schrader,34,8,30,38,2,0,34,0,M2 Lindenwood University
4,19,Nick Elliott,31,16,21,37,3,1,24,2,M2 Lindenwood University
5,15,Dylan Miller,33,12,24,36,4,0,48,1,M2 Lindenwood University
6,8,Luke Gassett,34,8,23,31,2,0,2,1,M2 Lindenwood University
7,3,Bobby Bross,31,10,19,29,0,1,16,4,M2 Lindenwood University
8,22,Jack Radley,23,12,10,22,2,0,22,2,M2 Lindenwood University
9,23,Kyle Van Wyk,29,8,11,19,2,0,24,2,M2 Lindenwood University
10,14,Timothy Marchant,24,8,11,19,0,0,12,1,M2 Lindenwood University
11,4,Ian Precht,32,5,14,19,1,0,10,1,M2 Lindenwood University
12,11,Nick Thorpe,30,8,10,18,0,1,18,2,M2 Lindenwood University
13,13,Cameron Seto,27,3,13,16,1,0,8,0,M2 Lindenwood University
14,7,Hunter Schiffman,31,2,13,15,1,0,33,1,M2 Lindenwood University
15,16,Braxton Walby,28,1,12,13,0,0,16,0,M2 Lindenwood University
16,6,Sean Viti,27,1,12,13,0,0,46,0,M2 Lindenwood University
17,9,Shayne Plummer,29,5,6,11,0,0,45,1,M2 Lindenwood University
18,24,Nils Tofilovski,20,4,4,8,0,1,4,0,M2 Lindenwood University
19,21,Connor Bradley,12,4,4,8,0,0,2,2,M2 Lindenwood University
20,10,Coleman Varty,28,2,5,7,1,0,12,0,M2 Lindenwood University
21,5,Eric Fisher,12,1,4,5,0,0,6,0,M2 Lindenwood University
22,2,Charlie Iles,7,1,4,5,0,0,2,0,M2 Lindenwood University
23,18,Joe Bresingham,8,2,1,3,0,0,2,1,M2 Lindenwood University
24,36,Dante Ardite,6,1,2,3,0,0,4,1,M2 Lindenwood University
25,32,William Persson,8,1,1,2,0,0,2,0,M2 Lindenwood University
26,38,Tyler Kubara,2,1,0,1,0,0,0,0,M2 Lindenwood University
27,12,Zach Fizer,2,0,1,1,0,0,0,0,M2 Lindenwood University
28,31,Trever Osborne,17,0,0,0,0,0,0,0,M2 Lindenwood University
29,1,Josh Martin,16,0,0,0,0,0,0,0,M2 Lindenwood University
30,30,Owen Luetkemeyer,2,0,0,0,0,0,0,0,M2 Lindenwood University
31,0,Dante Ardite,0,0,0,0,0,0,0,0,M2 Lindenwood University
32,0,Jack Radley,0,0,0,0,0,0,0,0,M2 Lindenwood University
