,Unnamed: 0,#,Name,GP,G,A,PTS,PPG,SHG,PIMS,GWG,Team,img,imgx
0,0,9,Phillip Pugliese,21,14,7,21,3,1,18,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
1,1,16,Ondrej Tomek,22,9,11,20,2,0,24,0,M2 Adrian College,/static/profile_pics/93b493f58db93678.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
2,2,10,Robert Bathory,22,6,10,16,0,2,8,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
3,3,6,Tedrick Tarvis,19,9,6,15,0,0,2,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
4,4,22,Devin Whitaker,22,7,8,15,2,0,10,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
5,5,20,Stefan Boskovic,22,7,6,13,2,0,22,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
6,6,24,Grant Kiepper,21,6,7,13,2,0,41,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
7,7,27,Justin Session,20,5,7,12,0,0,41,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
8,8,18,Matyas Mach,20,4,7,11,0,0,2,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
9,9,2,Dominick Yamarino,21,7,3,10,1,0,16,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
10,10,17,Dominik Mikulcak,20,1,8,9,0,0,4,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
11,11,13,Adam Ryffel,20,1,6,7,0,0,4,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
12,12,15,Zach Mcdonough,17,1,6,7,0,0,12,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
13,13,28,Mitchell Kellerman,17,1,6,7,1,0,8,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
14,14,23,Alexandre Sode,20,3,2,5,0,0,0,1,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
15,15,8,Jiri Sup,16,3,2,5,0,0,2,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
16,16,4,Nicholas Shuman,15,1,4,5,0,0,27,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
17,17,12,Kyle Boerner,14,1,4,5,0,0,29,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
18,18,5,Brett Siewertsen,22,0,5,5,0,0,10,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
19,19,19,Phillip Grippi,8,3,1,4,0,0,0,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
20,20,7,Nicholas Stanko,14,0,1,1,0,0,45,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
21,21,31,Ben Perone,5,0,1,1,0,0,0,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
22,22,30,Michael Barrett,0,0,0,0,0,0,0,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
23,23,30,Cedric Joubert,7,0,0,0,0,0,0,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
24,24,30,Connor Sheridan,1,0,0,0,0,0,0,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
25,25,11,Michael Tratar,0,0,0,0,0,0,0,0,M2 Adrian College,/static/img/backup.png,http://www.pointstreak.com/logos/small/league1800/team726719.gif
26,0,16,Josh Delezenne,27,42,27,69,5,1,10,5,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
27,1,12,Luke Picek,27,18,32,50,3,0,10,1,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
28,2,15,Samuel Weiss,26,18,30,48,0,4,46,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
29,3,23,Dan Zielecki,27,21,24,45,2,0,47,1,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
30,4,18,Ian Sweeney,26,10,15,25,3,0,36,3,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
31,5,19,Chris Laporte,27,12,12,24,2,4,14,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
32,6,10,Patrick Macdonald,26,5,19,24,1,0,2,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
33,7,2,Anders Lindgren,22,10,12,22,0,0,4,2,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
34,8,20,Matthew Chamberlain,23,5,17,22,0,0,16,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
35,9,11,Zach Tykocki,27,12,9,21,7,0,18,1,M2 Aurora University,728bd7a9a7ac87ce.jpg, http://www.pointstreak.com/logos/small/league1800/team508763.gif
36,10,5,Matt Fudala,27,7,6,13,0,1,4,2,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
37,11,21,Isaac Arroyo,27,1,9,10,0,0,14,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
38,12,9,Luke Williams,19,2,7,9,0,1,2,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
39,13,6,Benjamin Grabarek,26,1,7,8,0,0,14,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
40,14,4/86,Andrew Fattore,25,0,8,8,0,0,0,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
41,15,8,Zack Miceli,26,2,5,7,0,0,30,1,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
42,16,35,Cam Orsborn,19,0,1,1,0,0,0,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
43,17,71,Timothy Faulkner,4,0,1,1,0,0,4,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
44,18,0,Brian Tempel,4,0,0,0,0,0,0,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
45,19,30,Gavin Carlson,3,0,0,0,0,0,0,0,M2 Aurora University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508763.gif
46,0,22,Riley Martin,15,16,5,21,2,0,6,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
47,1,8,Asa Carlson,20,8,9,17,1,1,8,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
48,2,4,Justice Chaffee,16,6,4,10,1,0,16,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
49,3,6,Coleton Edgington,14,4,5,9,0,0,6,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
50,4,25,Benjamin Perunovich,14,3,6,9,0,0,2,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
51,5,7,Tyler Larwood,4,4,3,7,1,0,7,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
52,6,23,Ryan Ackerman,19,2,5,7,0,0,6,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
53,7,11,Logan Hulse,11,1,6,7,0,0,8,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
54,8,12,Ethan Scheibe,3,1,3,4,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
55,9,21,Jack Velasco,2,1,2,3,0,0,2,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
56,10,27,Zac Villarreal,6,0,3,3,0,0,2,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
57,11,10,Zack Spady,4,2,0,2,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
58,12,HC/9,Ty Walls,4,1,1,2,0,0,2,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
59,13,26,Mitchell OBrien,13,0,2,2,0,0,4,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
60,14,9,Alex Byram,4,1,0,1,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
61,15,17,Jackson Schroer,16,0,1,1,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
62,16,49,Tony Harris,5,0,1,1,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
63,17,19,Boston Knighton-Johnson,1,0,1,1,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
64,18,35,Aaron Furlano,13,0,0,0,0,0,2,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
65,19,2,Mario Hadley,3,0,0,0,0,0,2,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
66,20,33,Tyler Hayft,3,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
67,21,3,Andrew Marod,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
68,22,16,Kyle Swanson,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
69,23,28,Austin Anderson,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
70,24,33,Riley Martin,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
71,25,34,Justice Chaffee,1,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
72,26,18,Jonathan Terpstra,0,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
73,27,20,Stephen Oslin,0,0,0,0,0,0,0,0,M2 Bethel University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team528690.gif
74,0,2,Kyle Tintera,30,32,21,53,9,1,38,6,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
75,1,6,Cory Kohut,30,7,21,28,5,0,14,1,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
76,2,49,Brennen Peters,30,14,9,23,7,0,32,1,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
77,3,82,Trevor Keune,27,6,15,21,0,0,4,1,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
78,4,8,Sam Lucchese,30,5,14,19,3,0,34,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
79,5,19,Kam Etchison,30,11,5,16,1,0,28,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
80,6,24,Sam Bryant,30,4,9,13,2,0,12,1,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
81,7,73,David Tuttle,30,3,10,13,0,0,4,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
82,8,11,Seth Bishop,31,7,4,11,1,2,10,2,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
83,9,4,Robert Blackburn,31,3,7,10,0,0,20,1,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
84,10,54,Ryan Spence,26,6,3,9,0,0,40,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
85,11,36,Nick Sorrentino,29,4,4,8,2,0,22,1,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
86,12,52,Logan Nigg,14,3,5,8,0,1,30,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
87,13,55,Andrew Schmitt,31,1,7,8,0,0,14,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
88,14,15,Josh Crandall,21,1,1,2,1,0,6,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
89,15,51,Joshua Soule,19,0,1,1,0,0,0,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
90,16,3,Jack Power Wayvon,6,0,1,1,0,0,32,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
91,17,41,Devun Schneider,13,0,0,0,0,0,0,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
92,18,31,Scott Chernobrov,0,0,0,0,0,0,0,0,M2 Bradley University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team508823.gif
93,0,24,Lawrence Rowe,23,13,15,28,2,2,52,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
94,1,7,Jorden Cooper,24,13,11,24,4,0,81,2,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
95,2,18,Alexander Dimarco,22,7,9,16,1,0,24,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
96,3,3,Shaun Smith,24,8,7,15,1,1,26,2,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
97,4,12,Nicolas Modas,24,6,9,15,1,0,16,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
98,5,8,Aidan Hoffman,24,5,9,14,1,1,16,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
99,6,15,Christopher Krzyzak,22,7,3,10,1,1,57,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
100,7,20,Patrick Burke,24,4,6,10,0,0,28,1,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
101,8,28,Shawn Viane,19,5,4,9,2,0,14,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
102,9,21,Ryan Stumpf,24,2,7,9,0,0,12,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
103,10,9,Michael James,23,2,4,6,0,0,12,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
104,11,6,Ian Sierota,23,0,5,5,0,0,16,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
105,12,27,Brandon Skiles,23,1,3,4,0,0,10,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
106,13,22,Brayden Chritz,23,0,4,4,0,0,10,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
107,14,16,Brendan Raney,22,3,0,3,0,0,20,1,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
108,15,0,Dylan Coomes,4,1,2,3,0,0,0,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
109,16,4,Chris Kennard,22,0,3,3,0,0,18,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
110,17,13,Brent Bouck,13,1,1,2,0,0,4,1,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
111,18,10,Steven Jacques,24,0,2,2,0,0,4,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
112,19,25,Brendan Crippen,22,0,2,2,0,0,16,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
113,20,23,Cameron Messer,20,0,1,1,0,0,8,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
114,21,1,Jonah Heath,14,0,0,0,0,0,0,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
115,22,29,Patrick Newton,11,0,0,0,0,0,2,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
116,23,11,Adam Gagnon,6,0,0,0,0,0,2,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
117,24,30,Jack Valentine,5,0,0,0,0,0,0,0,M2 Central Michigan University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team514040.gif
118,0,26,Jonathan Grodzki,29,22,39,61,3,2,13,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
119,1,2,Cody Faber,29,19,28,47,6,0,12,4,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
120,2,18,Trenton Sherman,29,17,22,39,1,2,7,3,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
121,3,12,Scott Gregor,29,18,19,37,6,0,20,1,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
122,4,92,Wyatt Wilderman,26,16,20,36,8,0,4,3,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
123,5,21,Mathew Gregor,29,7,26,33,1,0,16,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
124,6,28,Easton Williams,29,13,16,29,2,0,10,2,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
125,7,11,Gabriel Dasto,29,11,13,24,4,1,30,2,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
126,8,72,Logan Hascarl,24,13,8,21,3,0,10,2,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
127,9,44,Sean Doyle,29,6,13,19,0,0,86,1,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
128,10,27,Ethan Natzke,29,4,15,19,1,0,46,2,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
129,11,8,Connor Doyle,24,6,4,10,0,0,41,1,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
130,12,4,Alec Murano,9,4,6,10,0,0,8,1,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
131,13,19,Andrew Doepp,28,3,6,9,0,0,22,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
132,14,6,Keijo Day,8,0,4,4,0,0,12,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
133,15,66,Aymery Larson,29,0,2,2,0,0,12,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
134,16,70,Mack Willy,21,0,1,1,0,0,0,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
135,17,5,Andrew Gordon,19,0,0,0,0,0,2,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
136,18,32,Brian Johnson,8,0,0,0,0,0,0,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
137,19,31,Ian Robertson,1,0,0,0,0,0,0,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
138,20,29,Robert Houle,0,0,0,0,0,0,0,0,M2 Concordia of Wisconsin,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team754166.png
139,0,15,Trevor Murray,33,17,26,43,2,2,26,3,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
140,1,21,Connor Seymour,30,21,20,41,6,0,32,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
141,2,12,Evan Carroll,32,12,20,32,2,1,34,3,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
142,3,9,Jeff Rahilly,31,17,14,31,1,1,58,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
143,4,5,Spencer Sandberg,31,14,17,31,3,0,6,1,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
144,5,24,Kyle Mazur,31,10,18,28,3,0,12,1,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
145,6,10,Clint Loney,29,16,11,27,3,5,8,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
146,7,27,Jacob Demeter,30,16,8,24,7,0,42,1,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
147,8,11,Adam Hulsey,31,4,17,21,0,1,14,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
148,9,28,Cole Uzzell,31,8,10,18,3,0,89,2,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
149,10,17,Brody White,31,5,13,18,1,0,40,2,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
150,11,19,Ty Jaenicke,30,1,16,17,0,0,30,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
151,12,4,Jean Philippe Montmarquette,31,3,13,16,0,0,26,1,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
152,13,20,Tyler Majewski,33,7,8,15,1,1,18,1,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
153,14,23,Tyler Blackburn,28,4,11,15,0,0,30,2,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
154,15,18,Harry Newton,30,4,5,9,0,0,18,1,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
155,16,14,Marc Rotondo,9,5,3,8,1,1,2,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
156,17,29,Spencer Anderson,31,1,4,5,0,0,14,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
157,18,7,Quentin Roseboom,18,2,1,3,0,0,18,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
158,19,7,Justin Vantine,8,2,1,3,0,0,4,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
159,20,31,Drake Deering,23,0,2,2,0,0,0,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
160,21,34,Robert Pegrum,9,0,1,1,0,0,0,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
161,22,35,Brenden Bogema,5,0,0,0,0,0,0,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
162,23,30,Brendan Forsman,1,0,0,0,0,0,0,0,M2 Davenport University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team726735.gif
163,0,8,Michael Helf,26,22,22,44,6,3,49,3,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
164,1,92,Brockton Ash,25,11,15,26,4,0,16,2,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
165,2,61,Jackson Leptich,25,13,11,24,6,0,16,0,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
166,3,20,Brenton Wadsworth,27,11,11,22,1,2,29,2,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
167,4,19,Tyler Hanson,19,4,14,18,1,0,28,0,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
168,5,47,Ryan Hasty,23,4,10,14,0,0,72,1,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
169,6,22,Connor McNally,25,6,7,13,2,1,69,0,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
170,7,27,Marco Presta,28,5,8,13,1,0,2,0,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
171,8,5,John Bolger,27,4,9,13,0,0,50,1,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
172,9,3,Matt Rivera,20,5,5,10,3,1,18,1,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
173,10,93,Tyler Marcelletti,24,4,6,10,0,0,29,1,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
174,11,26,Jack Hemmingway,28,3,7,10,0,1,14,0,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
175,12,44,Joshua Dolan,25,4,4,8,1,0,73,0,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
176,13,91,Jacob Camp,23,4,3,7,1,0,15,0,M2 DePaul University,/static/img/backup.png, http://www.pointstreak.com/logos/small/league1800/team725013.png
