,teams,img
33, #1 University of Mass.-Amherst , http://www.pointstreak.com/logos/small/league1800/team721943.png
34,  University of Mass.-Lowell , http://www.pointstreak.com/logos/small/league1800/team726354.png
35, #4 University of New Hampshire , http://www.pointstreak.com/logos/small/league1800/team726084.gif
36,  University of Vermont , http://www.pointstreak.com/logos/small/league1800/team721825.png
37, #11 Westfield State University , http://www.pointstreak.com/logos/small/league1800/team728378.gif
0, Bowling Green State University ,http://www.pointstreak.com/logos/small/league1800/team724304.png
1,  Denison University , http://www.pointstreak.com/logos/small/league1800/team662749.gif
2,  Drexel University , http://www.pointstreak.com/logos/small/league1800/team721840.png
3,  Duke University , http://www.pointstreak.com/logos/small/league1800/team508638.gif
4,  Elon University , http://www.pointstreak.com/logos/small/league1800/team724291.png
5, #2 Florida Gulf Coast University , http://www.pointstreak.com/logos/small/league1800/team514061.gif
6,  George Washington University , http://www.pointstreak.com/logos/small/league1800/team514062.gif
7,  Georgetown University , http://www.pointstreak.com/logos/small/league1800/team723007.png
8,  Indiana University , http://www.pointstreak.com/logos/small/league1800/team725540.gif
9,  James Madison University , http://www.pointstreak.com/logos/small/league1800/team724164.png
10, #1 Liberty University , http://www.pointstreak.com/logos/small/league1800/team724224.png
11, #7 Miami University , http://www.pointstreak.com/logos/small/league1800/team724667.gif
12,  Millersville University , http://www.pointstreak.com/logos/small/league1800/team754062.png
13,  Monmouth University , http://www.pointstreak.com/logos/small/league1800/team514105.gif
14,  New Jersey Institute Technology , http://www.pointstreak.com/logos/small/league1800/team726825.png
15, #4 North Carolina State University , http://www.pointstreak.com/logos/small/league1800/team726683.gif
16, #8 Ohio State University , http://www.pointstreak.com/logos/small/league1800/team723005.png
17,  Ohio University , http://www.pointstreak.com/logos/small/league1800/team514126.gif
18, #6 Penn State University , http://www.pointstreak.com/logos/small/league1800/team754134.gif
19,  Princeton University , http://www.pointstreak.com/logos/small/league1800/team722439.png
20, #10 Rider University , http://www.pointstreak.com/logos/small/league1800/team754135.gif
21, #5 Rowan University , http://www.pointstreak.com/logos/small/league1800/team721820.gif
22,  Rutgers University , http://www.pointstreak.com/logos/small/league1800/team727091.png
23,  Saint Josephs University , http://www.pointstreak.com/logos/small/league1800/team514144.gif
24,  Seton Hall University , http://www.pointstreak.com/logos/small/league1800/team514151.gif
25,  Stevenson University , http://www.pointstreak.com/logos/small/league1800/team726128.png
26, #12 The College of New Jersey , http://www.pointstreak.com/logos/small/league1800/team514114.gif
27,  United States Naval Academy , http://www.pointstreak.com/logos/small/league1800/team722610.png
28,  University of Akron , http://www.pointstreak.com/logos/small/league1800/team725325.png
29, #3 University of Cincinnati , http://www.pointstreak.com/logos/small/league1800/team725985.png
30,  University of Dayton , http://www.pointstreak.com/logos/small/league1800/team754213.gif
31, #11 University of Delaware , http://www.pointstreak.com/logos/small/league1800/team514052.gif
32,  University of Kentucky , http://www.pointstreak.com/logos/small/league1800/team721918.gif
33,  University of Louisville , http://www.pointstreak.com/logos/small/league1800/team514084.gif
34,  University of Maryland , http://www.pointstreak.com/logos/small/league1800/team514089.gif
35,  University of NC-Wilmington , http://www.pointstreak.com/logos/small/league1800/team725650.gif
36,  University of North Carolina , http://www.pointstreak.com/logos/small/league1800/team754051.png
37,  University of Pennsylvania , http://www.pointstreak.com/logos/small/league1800/team514129.gif
38,  University of Pittsburgh , http://www.pointstreak.com/logos/small/league1800/team514130.gif
39,  University of Richmond , http://www.pointstreak.com/logos/small/league1800/team754270.png
40,  University of Scranton , http://www.pointstreak.com/logos/small/league1800/team508529.gif
41,  University of Virginia , http://www.pointstreak.com/logos/small/league1800/team514175.gif
42,  Virginia Tech University , http://www.pointstreak.com/logos/small/league1800/team514174.gif
43, #9 Wake Forest University , http://www.pointstreak.com/logos/small/league1800/team628780.gif
44,  West Chester University , http://www.pointstreak.com/logos/small/league1800/team724248.png
45,  West Virginia University , http://www.pointstreak.com/logos/small/league1800/team571488.gif
46,  Xavier University , http://www.pointstreak.com/logos/small/league1800/team725313.gif
0, Arizona State University ,http://www.pointstreak.com/logos/small/league1800/team722460.png
1, #12 Boise State University , http://www.pointstreak.com/logos/small/league1800/team723104.png
2,  Brigham Young University , http://www.pointstreak.com/logos/small/league1800/team726335.gif
3,  California , http://www.pointstreak.com/logos/small/league1800/team725264.png
4,  California Lutheran University , http://www.pointstreak.com/logos/small/league1800/team758920.png
5,  Chapman University , http://www.pointstreak.com/logos/small/league1800/team514041.gif
6,  Colorado State University , http://www.pointstreak.com/logos/small/league1800/team624860.gif
7, , 
8,  CSU- Long Beach , http://www.pointstreak.com/logos/small/league1800/team514034.gif
9, #11 CSU- Northridge , http://www.pointstreak.com/logos/small/league1800/team514035.gif
10,  CSU-Bakersfield , http://www.pointstreak.com/logos/small/league1800/team758195.gif
11,  CSU-Fullerton , http://www.pointstreak.com/logos/small/league1800/team514036.gif
12, #7 Dakota College , http://www.pointstreak.com/logos/small/league1800/team754089.png
13,  Dallas Baptist University , http://www.pointstreak.com/logos/small/league1800/team724115.png
14, #10 East Texas Baptist University , http://www.pointstreak.com/logos/small/league1800/team754200.gif
15,  Eastern Washington University , http://www.pointstreak.com/logos/small/league1800/team631703.gif
16,  Gonzaga University , http://www.pointstreak.com/logos/small/league1800/team514065.gif
17,  Grand Canyon University , http://www.pointstreak.com/logos/small/league1800/team726349.gif
18,  Loyola Marymount University , http://www.pointstreak.com/logos/small/league1800/team721922.png
19, #4 Montana State University , http://www.pointstreak.com/logos/small/league1800/team514106.gif
20, #3 MSU-Denver , http://www.pointstreak.com/logos/small/league1800/team754057.gif
21, #9 Northern Arizona University , http://www.pointstreak.com/logos/small/league1800/team514120.gif
22,  San Diego State University , http://www.pointstreak.com/logos/small/league1800/team724021.png
23,  San Jose State University , http://www.pointstreak.com/logos/small/league1800/team754179.png
24,  Santa Clara University , http://www.pointstreak.com/logos/small/league1800/team625128.gif
25,  Santa Rosa Junior College , http://www.pointstreak.com/logos/small/league1800/team508777.gif
26,  Southern Methodist University , http://www.pointstreak.com/logos/small/league1800/team725728.gif
